Codigo;Materia;Credito
MG5411;Antropología;2
MG5516;Microbiología;3
MG0012;Deportes, Arte y Cultura II;2
MG5418;Bioquímica;4
MG5714;Medicina General II;3
MG5220;Psicología y Sociología Gral;2
MG5324;Estadística y Demografía Médica II;2
MG5417;Fisiología y Biofísica;4
MG5119;Informática;2
MG5115;Medicina Preventiva, Comunitaria y Familiar II;2
MG5245;Derecho Constitucional;2
MG5117;Medicina Preventiva, Comunitaria y Familiar III;4
MG5521;Parasitología;2
MG5420;Semiología Médico Quirúrgica;4
MG5722;Farmacología;4
MG5641;Inteligencia Ética/Deontología Práctica Médica;2
MG5419;Fisiopatología;4
MG5429;Nutrición;2
MG5223;Psicología Médica General;2
MG5716;Medicina General III;2
MG0001;Psicopatología;2
MG5727;Clínica Obstetrica y Ginecología I;3
MG5729;Clínica Quirúrgica I;3
MG5728;Clínica Pediátrica I;3
MG5326;Anatomía Patológica;3
MG5125;Medicina Preventiva Comunitaria y Familiar IV;2
MG5724;Medicina General IV;3
MG0003;Clínica Médica I;3
MG5736;Clínica Quirúrgica II;3
MG5731;Medicina General V;2
MG5735;Clínica Pediátrica II;3
MG5633;Medicina Legal;2
MG5132;Medicina Preventiva, Comunitaria y Familiar V;2
MG5238;Clínica Psiquiátrica;3
MG5734;Clínica Obstetrica y Ginecológica II;3
MG0005;Clínica Médica II;3
MG0006;Internado Rural;3
MG0007;Clínica Médica III;3
MG0010;Clínica Quirúrgica III;3
MG0009;Clínica Obstetrica III;3
MG0008;Clínica Pediátrica III;3
MG5143;Trabajo de Grado;0
OD4205;Morfología Dentaria y Oclusión;3
OD4510;Formación Cultural y Artística;1
OD4106;Odontología Comunitaria I;3
OD4108;Iniciación a la Clínica;3
OD4202;Morfología Humana;3
OD4404;Formación Instrumental;1
OD4203;Bioquímica Aplicada;1
OD4201;Histología, Embriología y Genética;3
OD4509;Educación Física y Deportes I;1
OD4407;Investigación I;1
OD4115;Odontología Comunitaria II;3
OD4211;Histofisiología;1
OD4114;Clínica Integral del Adulto I;8
OD4113;Biomateriales Odontológicos;1
OD4518;Educación Física y Deportes II;1
OD4416;Investigación II;1
OD4312;Microbiología y Parasitología;1
OD4417;Formación Instrumental II;1
OD4519;Formación Cultural y Artística II;1
OD4423;Investigación III;1
OD4121;Clínica Integral del Adulto II;8
OD4120;Atención Integral de Niño I;3
OD4122;Odontología Comunitaria III;3
OD4125;Medicina Interna y Semiología;3
OD4126;Fisiopatología;1
OD4124;Farmacología;1
OD4432;Investigación IV;1
OD4129;Clínica Integral del Adulto III;8
OD4128;Odontología Comunitaria IV;3
OD4127;Atención Integral de Niño II;3
OD4433;Investigación V;1
OD4132;Odontología Comunitaria V;14
OD4230;Toxicología;1
OD4231;Gerontología;1
MV1007;Faenas Pecuarias;0
MV1008;Ingles Instrumental;0
MV1006;Ecología Agrícola;0
MV1002;Análisis del Perfil Profesional;0
MV1005;Educación Física y Deportes;0
MV1003;Bioquímica;0
MV1004;Computación;0
MV1009;Zoología;0
MV1001;Anatomía de los Animales Domesticos;0
MV2004;Histología Veterinaria;0
MV2007;Arte y Cultura;0
MV2001;Bioestadística;0
MV2003;Genética;0
MV2002;Fisiología Animal;0
MV2006;Zootecnia;0
MV2005;Microbiología;0
MV3005;Patología Clínica Veterinaria;0
MV3002;Farmacología Veterinaria;0
MV3007;Semiología Veterinaria;0
MV3003;Nutrición y Alimentación Animal;0
MV3006;Reproducción Animal;0
MV3004;Parasitología Veterinaria;0
MV3001;Anatomía Patológica Veterinaria;0
MV4002;Gerencia de Servicio Veterinaria;0
MV4007;Saneamiento Ambiental;0
MV4005;Medicina de Rumiantes y Equino;0
MV4004;Mejoramiento Animal;0
MV4006;Medicina de Caninos y Felinos;0
MV4003;Investigación Veterinaria I;0
MV4008;Extensión Profesional I;0
MV4001;Cirugía Veterinaria;0
MV5111;Servicio Comunitario;0
MV5006;Medicina Preventiva y Clínica Hospitalaria;0
MV5009;Extensión Profesional II;0
MV5002;Investigación Veterinaria II;0
MV5005;Medicina, Conejo, Peces, Especies Silvestres Laboratorio;0
MV5003;Legislación y Deontología Veterinaria;0
MV5007;Proceso de Producción Ind e Inp San;0
MV5110;Derecho Constitucional;0
MV5001;Epidemiología General;0
MV5004;Medicina de Suinos y Aves;0
MV5008;Pasantías Profesionales;0
MV6017;Invitación del Patrimonio Cultural;0
MV6025;Ortografía y Redacción;0
MV6023;Música Coral;0
MV6009;Probabilidad y Organización Especial del Agro Venezolano;0

DCI101;Derecho Civil I;2
DCO121;Derecho Constitucional;2
PBO151;Pensamiento Bolivariano;2
IDN161;Introducción al Derecho;2
EPO171;Economía Política;2
MIJ181;Métodos de Investigación Jurídica;2
DEP191;Derecho Popular;2
DRO110;Derecho Romano;2
LJU111;Lógica Jurídica;2
DJU112;Deontología Jurídica;2
ACU141;Arte y Cultura;2
DDP131;Deporte;2
DAG237;Derecho Agrario;2
DEA235;Derecho Ambiental;2
MLE233;Medicina Legal;2
CRL234;Criminología;2
DEP222;Derecho Penal I;2
FID236;Filosofía del Derecho;2
